#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
93.861144,80,1265.357515
94.415788,85,1267.190138
94.230089,100,1268.86352
93.541195,84,1269.962002
94.437208,81,1271.546298
93.984297,75,1272.728272
94.654647,80,1274.393727
93.879294,76,1275.512549
93.818138,113,1277.658559
93.811997,71,1278.768549
94.292156,78,1279.848217
93.665377,76,1281.523507
93.762284,80,1282.696734
93.519181,80,1284.384131
94.019507,80,1285.605373
95.010758,96,1287.308697
92.815758,84,1289.017947
94.213365,72,1290.115534
93.506933,99,1291.848138
94.456549,73,1293.023704
94.380482,82,1294.661421
90.974603,130,1296.980227
92.706717,83,1298.862925
94.528193,88,1300.003119
93.898566,86,1301.704134
93.663537,83,1303.341289
93.663107,79,1304.426271
94.560939,77,1305.563159
94.370434,73,1307.273224
94.106475,73,1308.389354
93.491176,81,1309.954803
94.511218,83,1311.230817
94.741084,75,1312.557677
93.663478,76,1314.203785
94.298985,80,1315.475572
94.685425,86,1317.199261
94.428695,79,1318.829569
95.223305,84,1320.11809
94.445371,87,1321.7995
95.19688,73,1322.911073
95.141941,86,1324.592204
93.386454,103,1326.262891
93.716945,80,1327.957638
94.008177,82,1329.108392
92.841555,102,1330.731717
92.424256,131,1332.908066
94.29104,100,1335.053377
93.648901,97,1336.685204
93.793572,81,1337.801461
91.402246,109,1339.58756
93.286752,111,1342.159428
93.472919,74,1343.466933
89.437807,175,1346.886259
94.101259,85,1348.073897
94.429495,73,1349.734988
94.413552,73,1350.846635
93.810254,81,1351.950802
94.575667,83,1353.716355
94.886392,71,1354.914006
93.771751,74,1356.62467
95.13154,73,1357.726805
95.18187,81,1358.944758
87.592901,189,1362.399789
93.429583,85,1364.107963
93.415588,86,1365.728328
93.454744,111,1367.43472
94.750124,85,1369.092652
95.166052,81,1370.261812
94.765954,77,1371.936589
93.966168,84,1373.090261
94.825248,94,1374.740724
92.150094,155,1377.436259
94.535158,85,1379.048399
93.888519,87,1380.949947
94.790593,79,1382.215791
94.219308,76,1383.352444
94.110894,77,1385.101507
94.819058,75,1386.214059
95.27435,72,1387.307394
92.713448,101,1389.551142
94.868507,75,1390.681157
94.550885,72,1391.778798
94.265173,81,1393.576966
93.698055,85,1394.743563
91.034626,146,1397.561025
94.282325,75,1398.750711
94.156662,77,1400.413816
95.240262,97,1402.088046
95.137655,80,1403.319499
93.531335,78,1405.102619
94.718459,75,1406.364179
93.748125,81,1407.487279
94.43933,75,1409.256897
94.169236,73,1410.349448
95.069548,95,1412.06336
93.864789,84,1413.759452
94.2195,87,1415.028021
95.030554,78,1416.768985
94.66612,80,1418.118905
94.159901,82,1419.77315
94.400309,78,1421.089652
93.353229,119,1423.512747
95.030321,74,1424.814181
92.017804,106,1426.9647
94.056265,89,1428.118429
94.622529,73,1429.770199
95.139896,73,1430.868517
93.538858,80,1432.575979
93.894236,84,1433.789541
95.133186,76,1435.592691
92.760433,125,1437.371562
93.783808,80,1439.077923
93.159326,94,1440.905738
94.613048,80,1442.205958
94.627129,83,1443.827125
94.345643,80,1444.968965
95.014343,77,1446.828051
95.41841,75,1448.140196
94.369248,81,1449.894394
94.263183,84,1451.15423
94.565319,79,1452.77589
93.390202,82,1453.913975
87.916471,172,1457.48718
94.089447,94,1459.184898
94.617027,81,1460.393442
92.888262,92,1462.120479
94.103447,78,1463.884257
93.609365,80,1465.003156
93.878873,88,1466.801466
94.631957,88,1468.526831
93.181064,88,1469.73857
93.950955,81,1471.526308
