#{"t_start": 1615652570.2472315, "env_id": "BipedalWalker-v3"}
r,l,t
322.075037,712,6475.774155
322.23111,707,6476.564253
322.669265,709,6477.446516
322.573713,715,6478.254681
321.901865,715,6479.070108
322.290774,712,6479.864113
321.653035,720,6480.666934
322.879172,713,6481.462068
321.730261,716,6482.33532
322.647841,709,6483.225615
321.464289,717,6484.071428
321.769112,710,6484.879552
321.869098,718,6485.790203
322.057291,715,6486.584972
322.234507,717,6487.388542
321.921004,709,6488.191471
322.857838,724,6489.027935
321.643573,711,6489.904337
321.246376,713,6490.686525
322.474197,714,6491.483257
321.752492,717,6492.29354
321.95905,718,6493.096898
322.208475,706,6493.89267
321.74584,715,6494.687819
322.329747,721,6495.501364
322.25775,705,6496.284513
322.121113,718,6497.109529
321.905379,712,6497.897974
321.952702,703,6498.676133
322.690213,705,6499.490193
322.307527,711,6500.304847
322.138025,715,6501.097873
322.162294,703,6501.878546
322.564194,721,6502.69028
322.093689,712,6503.468481
321.377581,713,6504.261424
322.050615,712,6505.04682
322.638507,710,6505.856628
322.452881,707,6506.642872
321.825497,704,6507.400912
